,IBM-BEST,IBM-ANY,Google-labels,Google-best,Google-any,Amazon-labels,Amazon-best,amazon.any,Clarifai-labels,Clarifai-best,Clarifai-any,InceptionMax,InceptionAny,inception2max,inception2any,Accuracy,RT,Rating,adjrt
Blur-Tools,0.34,0.42,Blurtools,0.0625,0.20833333,Blur-Tools,0.08,0.08,Blur-Tools,0.02,0.32,0.72,0.92,0.74,0.98,0.9871795,1491.676,7.384615,1511.048
BW-Tools,0.1,0.42,BWTools,0.02,0.08,BW-Tools,0.06,0.06,BW-Tools,0.04,0.24,0.66,0.86,0.78,0.96,0.9666667,1614.206,7.02439,1669.868
Charcol-Tools,0.1,0.18,CharcolTools,0,0.04,Charcol-Tools,0,0,Charcol-Tools,0.06,0.16,0.5,0.78,0.74,0.94,0.9853659,1544.326,8.536585,1567.262
Edge-Tools,0.14,0.2,EdgeTools,0.02040816,0.06122449,Edge-Tools,0.02,0.02,Edge-Tools,0.04,0.16,0.6,0.8,0.74,0.98,0.9863248,1478.266,8.666667,1498.762
Edge-White-Tools,0.04,0.14,EdgeWhiteTools,0,0,Edge-White-Tools,0,0,Edge-White-Tools,0.02,0.16,0.5,0.78,0.76,0.9,0.9796748,1554.602,8.512195,1586.856
Frame-Blue,0.34,0.64,FrameBlue,0.3,0.64,Frame-Blue,0.34,0.34,Frame-Blue,0.2,0.62,0.92,0.98,0.96,1,,,,
Frame-Leaves,0.1,0.46,FrameLeaves,0.10204082,0.16326531,Frame-Leaves,0.06,0.12,Frame-Leaves,0,0.08,0.86,0.98,0.88,0.98,0.9877193,1538.468,8.578947,1557.597
Frame-Nature,0,0.04,FrameNature,0,0,Frame-Nature,0.02,0.04,Frame-Nature,0,0,0.68,0.8,0.82,1,0.9902299,1482.39,7.982759,1497.016
Frame-Wood,0.04,0.1,FrameWood,0,0.04,Frame-Wood,0.12,0.12,Frame-Wood,0,0.08,0.6,0.82,0.86,0.96,,,,
Implode-Tools,0.04,0.1,ImplodeTools,0.06382979,0.10638298,Implode-Tools,0.06,0.06,Implode-Tools,0,0.08,0.5,0.82,0.76,0.98,0.9682927,1588.114,6.707317,1640.118
Masking-Tools,0.34,0.7,MaskingTools,0.24,0.62,Masking-Tools,0.34,0.36,Masking-Tools,0.1,0.58,0.96,1,0.94,1,,,,
Original-Tools,0.44,0.72,OriginalTools,0.34,0.72,Original-Tools,0.52,0.54,Original-Tools,0.22,0.72,0.98001,1,1,1,0.9878788,1420.022,10.040816,1437.446
Rainbow-Tools,0.04,0.18,RainbowTools,0.06122449,0.12244898,Rainbow-Tools,0,0,Rainbow-Tools,0,0,0.58,0.6,0.86,0.9,0.9789474,1579.461,7.263158,1613.428
Resize,0.22,0.44,Resize,0,0,,,,Resize,0.02,0.2,0.6,0.92,0.8,0.96,0.9813008,1580.85,7.243902,1610.973
Roll-Tools,0.42,0.68,RollTools,0.34,0.68,Roll-Tools,0.36,0.38,Roll-Tools,0.16,0.66,0.98,1,0.98,1,,,,
Rotation,0.36,0.58,Rotation,0.36,0.64,Rotation,0.42,0.42,Rotation,0.08,0.58,0.96,1,0.98,1,0.9947368,1467.104,9.789474,1474.866
Shear-Tools,0.04,0.14,ShearTools,0.24,0.44,Shear-Tools,0.12,0.12,Shear-Tools,0.02,0.18,0.82,0.98,0.82,0.98,0.9760684,1490.585,8.717949,1527.132
Sketch-Tools,0.18,0.36,SketchTools,0,0.08163265,Sketch-Tools,0.02,0.02,Sketch-Tools,0,0.22,0.76,0.86,0.86,0.98,0.9912281,1570.5,7.947368,1584.398
Splice,0.04,0.14,Splice,0.26530612,0.57142857,Splice,0.14,0.14,Splice,0.1,0.3,0.62,0.94,0.82,0.98,0.9880342,1572.453,5.871795,1591.497
Wave-Tools,0.1041667,0.2291667,WaveTools,0.04081633,0.06122449,Wave-Tools,0.04,0.04,Wave-Tools,0.02,0.12,0.54,0.88,0.66,0.94,0.9789474,1483.925,5.947368,1515.837
